original,variant,type,phash_distance,dhash_distance,ahash_distance
nature_010.jpg,nature_010_resize.jpg,resized,0,0,0
nature_010.jpg,nature_010_watermark.jpg,watermarked,0,0,0
osint_001.jpg,osint_001_compressed.jpg,compressed,0,0,0
osint_001.jpg,osint_001_crop.jpg,cropped,10,12,6
osint_001.jpg,osint_001_resize.jpg,resized,0,0,0
osint_001.jpg,osint_001_watermark.jpg,watermarked,0,0,0
osint_002.jpg,osint_002_compressed.jpg,compressed,0,0,0
osint_002.jpg,osint_002_crop.jpg,cropped,14,17,7
osint_002.jpg,osint_002_resize.jpg,resized,0,0,0
osint_002.jpg,osint_002_watermark.jpg,watermarked,2,1,0
osint_003.jpg,osint_003_compressed.jpg,compressed,2,2,0
osint_003.jpg,osint_003_crop.jpg,cropped,16,7,5
osint_003.jpg,osint_003_resize.jpg,resized,0,1,0
osint_003.jpg,osint_003_watermark.jpg,watermarked,2,3,0
osint_004.jpg,osint_004_compressed.jpg,compressed,0,0,0
osint_004.jpg,osint_004_crop.jpg,cropped,20,14,14
osint_004.jpg,osint_004_resize.jpg,resized,2,1,1
osint_004.jpg,osint_004_watermark.jpg,watermarked,2,0,1
osint_005.jpg,osint_005_compressed.jpg,compressed,0,0,0
osint_005.jpg,osint_005_crop.jpg,cropped,16,19,19
osint_005.jpg,osint_005_resize.jpg,resized,0,0,0
osint_005.jpg,osint_005_watermark.jpg,watermarked,0,0,0
osint_006.jpg,osint_006_compressed.jpg,compressed,0,0,0
osint_006.jpg,osint_006_crop.jpg,cropped,22,13,11
osint_006.jpg,osint_006_resize.jpg,resized,0,0,0
osint_006.jpg,osint_006_watermark.jpg,watermarked,0,0,0
osint_007.jpg,osint_007_compressed.jpg,compressed,0,1,0
osint_007.jpg,osint_007_crop.jpg,cropped,12,20,5
osint_007.jpg,osint_007_resize.jpg,resized,0,0,0
osint_007.jpg,osint_007_watermark.jpg,watermarked,0,1,0
osint_008.jpg,osint_008_compressed.jpg,compressed,0,0,0
osint_008.jpg,osint_008_crop.jpg,cropped,22,27,10
osint_008.jpg,osint_008_resize.jpg,resized,0,0,0
osint_008.jpg,osint_008_watermark.jpg,watermarked,0,0,0
osint_009.jpg,osint_009_compressed.jpg,compressed,0,0,0
osint_009.jpg,osint_009_crop.jpg,cropped,18,15,2
osint_009.jpg,osint_009_resize.jpg,resized,0,0,0
osint_009.jpg,osint_009_watermark.jpg,watermarked,0,0,0
osint_010.jpg,osint_010_compressed.jpg,compressed,0,1,0
osint_010.jpg,osint_010_crop.jpg,cropped,14,13,12
osint_010.jpg,osint_010_resize.jpg,resized,0,1,0
osint_010.jpg,osint_010_watermark.jpg,watermarked,0,3,0
vehicle_001.jpg,vehicle_001_compressed.jpg,compressed,0,1,0
vehicle_001.jpg,vehicle_001_crop.jpg,cropped,16,17,6
vehicle_001.jpg,vehicle_001_resize.jpg,resized,0,1,0
vehicle_001.jpg,vehicle_001_watermark.jpg,watermarked,0,1,0
vehicle_002.jpg,vehicle_002_compressed.jpg,compressed,2,2,0
vehicle_002.jpg,vehicle_002_crop.jpg,cropped,16,21,10
vehicle_002.jpg,vehicle_002_resize.jpg,resized,2,0,0
vehicle_002.jpg,vehicle_002_watermark.jpg,watermarked,0,1,0
vehicle_003.jpg,vehicle_003_compressed.jpg,compressed,0,3,0
vehicle_003.jpg,vehicle_003_crop.jpg,cropped,20,19,10
vehicle_003.jpg,vehicle_003_resize.jpg,resized,0,0,0
vehicle_003.jpg,vehicle_003_watermark.jpg,watermarked,0,1,0
vehicle_004.jpg,vehicle_004_compressed.jpg,compressed,0,2,0
vehicle_004.jpg,vehicle_004_crop.jpg,cropped,14,19,11
vehicle_004.jpg,vehicle_004_resize.jpg,resized,0,1,0
vehicle_004.jpg,vehicle_004_watermark.jpg,watermarked,0,0,0
vehicle_005.jpg,vehicle_005_compressed.jpg,compressed,0,0,0
vehicle_005.jpg,vehicle_005_crop.jpg,cropped,16,18,13
vehicle_005.jpg,vehicle_005_resize.jpg,resized,0,1,0
vehicle_005.jpg,vehicle_005_watermark.jpg,watermarked,0,1,0
vehicle_006.jpg,vehicle_006_compressed.jpg,compressed,0,0,1
vehicle_006.jpg,vehicle_006_crop.jpg,cropped,14,14,7
vehicle_006.jpg,vehicle_006_resize.jpg,resized,0,0,1
vehicle_006.jpg,vehicle_006_watermark.jpg,watermarked,0,1,1
vehicle_007.jpg,vehicle_007_compressed.jpg,compressed,0,1,0
vehicle_007.jpg,vehicle_007_crop.jpg,cropped,14,18,10
vehicle_007.jpg,vehicle_007_resize.jpg,resized,0,1,0
vehicle_007.jpg,vehicle_007_watermark.jpg,watermarked,0,0,0
vehicle_008.jpg,vehicle_008_compressed.jpg,compressed,0,1,0
